ticker,effective_date,sim_datetime,price,value
SPX,2025-01-31,2025-01-31 02:00:00,6235.000000,8.549742
SPX,2025-01-31,2025-01-31 02:00:00,6232.500000,9.202113
SPX,2025-01-31,2025-01-31 02:00:00,5905.000000,-5.146925
SPX,2025-01-31,2025-01-31 02:00:00,5907.500000,-4.504839
SPX,2025-01-31,2025-01-31 02:00:00,5910.000000,-3.859943
SPX,2025-01-31,2025-01-31 02:00:00,5912.500000,-3.216397
SPX,2025-01-31,2025-01-31 02:00:00,5915.000000,-2.578528
SPX,2025-01-31,2025-01-31 02:00:00,5917.500000,-1.950780
SPX,2025-01-31,2025-01-31 02:00:00,5920.000000,-1.337655
SPX,2025-01-31,2025-01-31 02:00:00,5922.500000,-0.743643
SPX,2025-01-31,2025-01-31 02:00:00,5925.000000,-0.173152
SPX,2025-01-31,2025-01-31 02:00:00,5927.500000,0.369569
SPX,2025-01-31,2025-01-31 02:00:00,5930.000000,0.880518
SPX,2025-01-31,2025-01-31 02:00:00,5932.500000,1.356020
SPX,2025-01-31,2025-01-31 02:00:00,5935.000000,1.792808
SPX,2025-01-31,2025-01-31 02:00:00,5937.500000,2.188114
SPX,2025-01-31,2025-01-31 02:00:00,5940.000000,2.539737
SPX,2025-01-31,2025-01-31 02:00:00,5942.500000,2.846116
SPX,2025-01-31,2025-01-31 02:00:00,5945.000000,3.106390
SPX,2025-01-31,2025-01-31 02:00:00,5947.500000,3.320447
SPX,2025-01-31,2025-01-31 02:00:00,5950.000000,3.488955
SPX,2025-01-31,2025-01-31 02:00:00,5952.500000,3.613381
SPX,2025-01-31,2025-01-31 02:00:00,5955.000000,3.695988
SPX,2025-01-31,2025-01-31 02:00:00,5957.500000,3.739813
SPX,2025-01-31,2025-01-31 02:00:00,5960.000000,3.748633
SPX,2025-01-31,2025-01-31 02:00:00,5962.500000,3.726894
SPX,2025-01-31,2025-01-31 02:00:00,5965.000000,3.679640
SPX,2025-01-31,2025-01-31 02:00:00,5967.500000,3.612407
SPX,2025-01-31,2025-01-31 02:00:00,5970.000000,3.531110
SPX,2025-01-31,2025-01-31 02:00:00,5972.500000,3.441909
SPX,2025-01-31,2025-01-31 02:00:00,5975.000000,3.351071
SPX,2025-01-31,2025-01-31 02:00:00,5977.500000,3.264818
SPX,2025-01-31,2025-01-31 02:00:00,5980.000000,3.189168
SPX,2025-01-31,2025-01-31 02:00:00,5982.500000,3.129790
SPX,2025-01-31,2025-01-31 02:00:00,5985.000000,3.091844
SPX,2025-01-31,2025-01-31 02:00:00,5987.500000,3.079848
SPX,2025-01-31,2025-01-31 02:00:00,5990.000000,3.097548
SPX,2025-01-31,2025-01-31 02:00:00,5992.500000,3.147809
SPX,2025-01-31,2025-01-31 02:00:00,5995.000000,3.232527
SPX,2025-01-31,2025-01-31 02:00:00,5997.500000,3.352563
SPX,2025-01-31,2025-01-31 02:00:00,6000.000000,3.507712
SPX,2025-01-31,2025-01-31 02:00:00,6002.500000,3.696688
SPX,2025-01-31,2025-01-31 02:00:00,6005.000000,3.917152
SPX,2025-01-31,2025-01-31 02:00:00,6007.500000,4.165756
SPX,2025-01-31,2025-01-31 02:00:00,6010.000000,4.438225
